category,min,max,mean,stddev,sum,count
1322,37.3,55.3,45.5222222222,6.31303765587,409.7,9
1323,31.4,41.0,34.9545454545,2.87136331256,384.5,11
1320,33.7,46.4,37.8916666667,3.73714969981,454.7,12
1321,33.6,55.8,47.65,6.13645753763,476.5,10
1326,22.0,32.3,27.5545454545,3.37471884351,303.1,11
1327,30.7,39.3,35.7333333333,2.7527259217,321.6,9
1324,28.3,42.4,35.31,5.13126581741,353.1,10
1325,22.6,33.6,28.0875,3.42070899084,224.7,8
1120,11.8,31.5,16.0,5.49636243346,176.0,11
1121,7.5,17.4,14.1454545455,2.74931396401,155.6,11
1122,10.6,20.2,16.3636363636,2.93505459141,180.0,11
1329,14.9,32.9,25.4727272727,5.51526806404,280.2,11
317,9.0,15.7,11.6333333333,2.33291662946,104.7,9
316,7.9,25.4,16.1666666667,4.91095713685,145.5,9
315,12.9,23.1,17.3888888889,3.40200104514,156.5,9
314,7.0,19.8,12.4,3.99555308367,124.0,10
115,12.0,36.0,20.1428571429,6.53142950881,423.0,21
114,6.1,40.2,25.08,7.95775303294,627.0,25
117,6.5,24.4,16.652173913,4.40174237869,383.0,23
116,8.1,29.4,17.1217391304,5.05118856596,393.8,23
111,10.5,26.4,20.1076923077,4.23895487845,522.8,26
110,15.2,39.2,28.1142857143,7.34991963775,393.6,14
113,3.5,63.3,40.1730769231,15.0790598564,1044.5,26
112,11.5,31.9,22.147826087,4.81077101789,509.4,23
82,0.6,6.4,2.81,1.54520764516,28.1,10
83,0.4,10.1,3.76,2.96767773033,37.6,10
72,12.1,19.2,15.7888888889,2.58961601615,142.1,9
52,15.9,36.7,24.3454545455,6.10022354285,267.8,11
